DATE,Spot exchange rate - Deutschemark into Sterling,Spot exchange rate - Euro into Sterling,Spot exchange rate - French Franc into Sterling,Spot exchange rate - Italian Lire into Sterling,Spot exchange rate - Japanese Yen into Sterling,Spot exchange rate - US $ into Sterling
02-Jan-75,5.6529,,10.4092,1521.1381,702.522,2.3359
03-Jan-75,5.6182,,10.3736,1518.7491,703.9419,2.3414
06-Jan-75,5.5902,,10.3597,1511.0316,707.5391,2.3518
07-Jan-75,5.5865,,10.3422,1517.6908,708.0909,2.3552
08-Jan-75,5.6247,,10.3303,1516.5439,706.194,2.3485
09-Jan-75,5.5991,,10.3606,1522.1882,706.6891,2.3496
10-Jan-75,5.6011,,10.3357,1522.9437,707.6489,2.3524
13-Jan-75,5.6089,,10.3364,1526.5691,708.1303,2.354
14-Jan-75,5.6312,,10.3832,1527.7145,706.1822,2.3469
15-Jan-75,5.6123,,10.3525,1529.1303,707.02,2.3507
16-Jan-75,5.6077,,10.3436,1527.3038,707.8151,2.3535
17-Jan-75,5.6119,,10.317,1524.3619,708.0975,2.3535
20-Jan-75,5.5814,,10.2834,1524.526,709.0106,2.3563
21-Jan-75,5.5736,,10.3699,1524.3394,710.7518,2.3635
22-Jan-75,5.5849,,10.2908,1532.2552,717.3474,2.3906
23-Jan-75,5.5418,,10.2352,1523.0067,712.5619,2.381
24-Jan-75,5.5386,,10.2447,1517.1451,703.044,2.3832
27-Jan-75,5.5086,,10.2295,1523.7319,709.0836,2.3992
28-Jan-75,5.5093,,10.2187,1513.2529,708.4959,2.3827
29-Jan-75,5.5434,,10.2478,1522.6939,704.7678,2.3708
30-Jan-75,5.5499,,10.2641,1518.8854,707.4118,2.3753
31-Jan-75,5.5668,,10.2914,1522.8876,709.1809,2.381
03-Feb-75,5.5912,,10.2943,1519.8081,706.3546,2.3747
04-Feb-75,5.6444,,10.3231,1530.4387,703.6701,2.3691
05-Feb-75,5.638,,10.3288,1529.76,704.2038,2.3697
06-Feb-75,5.6039,,10.3245,1528.1888,701.8752,2.368
